question_id,subject,difficulty,model,strategy,gold,pred,stem,choices
civics_2023_q117,civics,hard,Qwen3 235B,zero-shot,C,D,"Chủ một cửa hàng thiết bị y tế là anh A đã nhờ chị N, chủ một đại lí thuốc tân dược, bán giúp một lô thuốc X không rõ nguồn gốc. Vì bị thanh tra liên ngành phát hiện và tịch thu toàn bộ lô thuốc X nên chị N không thanh toán tiền cho anh A và còn khai báo anh A là chủ nhân của lô thuốc đó khiến cho anh A vừa bị mất tiền, vừa bị cán bộ chức năng là ông B xử phạt. Biết sự việc này, chị G đã viết bài chia sẻ lên mạng xã hội. Những ai sau đây không tuân thủ pháp luật?","{'A': 'Anh A, chị N và chị G.', 'B': 'Anh A, chị G và ông B.', 'C': 'Anh A và chị G.', 'D': 'Anh A và chị N.'}"
history_2020_q3,history,easy,Vistral 7B,zero-shot,D,A,Nội dung nào sau đây là tác động tích cực của xu thế toàn cầu hoá từ đầu những năm 80 của thế kỉ XX?,"{'A': 'Sự phát triển nhanh của lực lượng sản xuất.', 'B': 'Sự kém an toàn về chính trị.', 'C': 'Sự kém an toàn về kinh tế.', 'D': 'Sự kém an toàn của đời sống con người.'}"
civics_2021_q89,civics,easy,Vistral 7B,few-shot,D,C,"Trong sản xuất và lưu thông hàng hóa, khi cầu tăng, sản xuất kinh doanh mở rộng thì lượng cung hàng hóa","{'A': 'bị triệt tiêu.', 'B': 'luôn ổn định.', 'C': 'tăng lên.', 'D': 'giảm xuống.'}"
biology_2021_q116,biology,hard,GPT-OSS 120B,self-cons,C,A,"Ở người, xét 2 gen trên 2 cặp NST thường; gen quy định nhóm máu có 3 alen là I^A, I^B, I^O; kiểu gen I^A I^A và I^A I^O quy định nhóm máu A; kiểu gen I^B I^B và I^B I^O quy định nhóm máu B; kiểu gen I^A I^B quy định nhóm máu AB; kiểu gen I^O I^O quy định nhóm máu O; gen quy định dạng tóc có 2 alen, alen D trội hoàn toàn so với alen d. Một cặp vợ chồng có nhóm máu khác nhau, sinh con trai tên là T có nhóm máu A, tóc quăn và 2 người con gái có kiểu hình khác bố, mẹ về cả 2 tính trạng đồng thời 2 người con gái này có nhóm máu khác nhau. Lớn lên, T kết hôn với H. Cho biết, H, bố H và mẹ H đều có nhóm máu A, tóc quăn nhưng em trai của H có nhóm máu O, tóc thẳng. Theo lí thuyết, xác suất sinh con đầu lòng là con trai có nhóm máu A, tóc thẳng của T và H là","{'A': '10/27.', 'B': '4/9.', 'C': '5/108.', 'D': '1/18.'}"
civics_2022_q93,civics,easy,Qwen3 235B,cot,C,A,"Theo quy định của pháp luật, tại thời điểm tổ chức bầu cử, cử tri không vi phạm nguyên tắc bầu cử khi","{'A': 'độc lập lựa chọn ứng cử viên.', 'B': 'ủy quyền thực hiện nghĩa vụ bầu cử.', 'C': 'đồng loạt sao chép phiếu bầu.', 'D': 'công khai nội dung đã viết vào phiếu bầu.'}"
geography_2022_q56,geography,easy,Vistral 7B,self-cons,A,C,Biện pháp hạn chế thiệt hại do bão gây ra ở vùng đồng bằng nước ta là,"{'A': 'sơ tán dân.', 'B': 'xây hồ thủy điện.', 'C': 'mở rộng đô thị.', 'D': 'chống hạn mặn.'}"
history_2020_q4,history,easy,Llama 3.1 8B,cot,A,B,"Từ năm 1945 đến năm 1954, nhân dân Lào đấu tranh chống lại kẻ thù nào sau đây?","{'A': 'Mêhicô.', 'B': 'Pháp.', 'C': 'Hà Lan.', 'D': 'Nam Phi.'}"
biology_2021_q116,biology,hard,Llama 3.1 8B,few-shot,C,A,"Ở người, xét 2 gen trên 2 cặp NST thường; gen quy định nhóm máu có 3 alen là I^A, I^B, I^O; kiểu gen I^A I^A và I^A I^O quy định nhóm máu A; kiểu gen I^B I^B và I^B I^O quy định nhóm máu B; kiểu gen I^A I^B quy định nhóm máu AB; kiểu gen I^O I^O quy định nhóm máu O; gen quy định dạng tóc có 2 alen, alen D trội hoàn toàn so với alen d. Một cặp vợ chồng có nhóm máu khác nhau, sinh con trai tên là T có nhóm máu A, tóc quăn và 2 người con gái có kiểu hình khác bố, mẹ về cả 2 tính trạng đồng thời 2 người con gái này có nhóm máu khác nhau. Lớn lên, T kết hôn với H. Cho biết, H, bố H và mẹ H đều có nhóm máu A, tóc quăn nhưng em trai của H có nhóm máu O, tóc thẳng. Theo lí thuyết, xác suất sinh con đầu lòng là con trai có nhóm máu A, tóc thẳng của T và H là","{'A': '10/27.', 'B': '4/9.', 'C': '5/108.', 'D': '1/18.'}"
biology_2023_q95,biology,easy,Qwen3 235B,few-shot,B,D,"Trong quá trình nhân đôi ADN, nuclêôtit guanin của môi trường nội bào liên kết bổ sung với nuclêôtit nào của mạch làm khuôn?","{'A': 'Guanin.', 'B': 'Ađênin.', 'C': 'Timin.', 'D': 'Xitôzin.'}"
history_2020_q22,history,medium,Llama 3.1 8B,few-shot,C,D,Quân dân miền Nam Việt Nam chiến đấu chống Chiến lược Chiến tranh cục bộ (1965 – 1968) của Mỹ nhằm thực hiện mục tiêu nào sau đây?,"{'A': 'Bảo vệ chính quyền Xviết.', 'B': 'Bảo vệ khu giải phóng Việt Bắc.', 'C': 'Bảo vệ căn cứ địa Cao Bằng.', 'D': 'Giải phóng hoàn toàn miền Nam.'}"
history_2019_q27,history,medium,Qwen3 235B,self-cons,B,C,Phong trào cách mạng 1930-1931 ở Việt Nam,"{'A': 'có mục tiêu chủ yếu là đòi cơm áo và hòa bình.', 'B': 'diễn ra trên quy mô lớn, có tính thống nhất cao.', 'C': 'có sự kết hợp đấu tranh hợp pháp và bất hợp pháp.', 'D': 'chỉ diễn ra ở các vùng nông thôn trên cả nước.'}"
civics_2023_q90,civics,easy,Vistral 7B,self-cons,B,D,Một trong những tác động của quy luật giá trị đối với người sản xuất hàng hóa là,"{'A': 'phân hóa giàu nghèo.', 'B': 'san bằng lợi nhuận bình quân.', 'C': 'chia đều lãi suất định kì.', 'D': 'xóa bỏ cạnh tranh.'}"
civics_2023_q102,civics,medium,Vistral 7B,self-cons,C,B,Công dân sử dụng pháp luật khi thực hiện hành vi nào sau đây?,"{'A': 'Ủy quyền bầu cử.', 'B': 'Đăng kí kinh doanh.', 'C': 'Giải cứu đồng phạm.', 'D': 'Tiêu thụ hàng giả.'}"
biology_2024_q84,biology,easy,GPT-OSS 120B,cot,B,D,"Theo lí thuyết, ở một loài thực vật có bộ NST 2n, hợp tử có bộ NST (2n - 1) có thể phát triển thành","{'A': 'thể tứ bội.', 'B': 'thể một.', 'C': 'thể ba.', 'D': 'thể tam bội.'}"
biology_2023_q84,biology,easy,Llama 3.1 8B,self-cons,C,A,Hệ sinh thái nào sau đây thuộc nhóm hệ sinh thái dưới nước?,"{'A': 'Rạn san hô.', 'B': 'Rừng lá kim phương Bắc.', 'C': 'Thảo nguyên.', 'D': 'Đồng rêu hàn đới.'}"
geography_2019_q60,geography,easy,Vistral 7B,self-cons,C,B,Hoạt động nuôi trồng thủy sản nước ta hiện nay,"{'A': 'hoàn toàn để xuất khẩu.', 'B': 'phân bố đều ở các vùng.', 'C': 'sản phẩm rất đa dạng.', 'D': 'chỉ sử dụng nước ngọt.'}"
geography_2024_q63,geography,medium,Vistral 7B,self-cons,D,A,Nước ta nằm trong vùng nội chí tuyến nên có,"{'A': 'tài nguyên sinh vật phong phú.', 'B': 'các khoáng sản trữ lượng lớn.', 'C': 'mạng lưới sông ngòi dày đặc.', 'D': 'gió Mậu dịch thổi quanh năm.'}"
history_2022_q34,history,hard,Llama 3.1 8B,few-shot,C,D,Kết quả của cuộc xây dựng chế độ mới có ý nghĩa nào sau đây với nhiệm vụ bảo vệ tổ quốc ở Việt Nam trong những năm 1945-1946,"{'A': 'Xoá bỏ giai cấp bóc lột, làm suy yếu các lực lượng phản cách mạng chống nước.', 'B': 'Phát huy hiệu quả nguồn lực từ hậu phương quốc tế phục vụ kháng chiến lâu dài.', 'C': 'Giữ vững thành quả của cuộc đấu tranh giành các quyền dân tộc cơ bản.', 'D': 'Củng cố, mở rộng vùng tự do, đẩy thực dân pháp vào thế bị động chiến lược.'}"
civics_2019_q114,civics,hard,GPT-OSS 120B,self-cons,D,B,"Giám đốc một công ty tổ chức sự kiện là anh M yêu cầu nhân viên là anh S khống chế và giữ khách hàng là anh Q tại nhà kho do anh Q có hành vi gây rối. Sau hai ngày tìm kiếm, vợ anh Q là chị T phát hiện anh bị giam ở công ty này nên nhờ anh B đến giải cứu chồng. Vì anh S không đồng ý thả anh Q nên anh B đã đánh khiến anh S bị gãy tay. Những ai sau đây vi phạm quyền bất khả xâm phạm về thân thể của công dân?","{'A': 'Anh S và anh B.', 'B': 'Anh M, anh S và chị T.', 'C': 'Anh M, chị T và anh B.', 'D': 'Anh M và anh S.'}"
civics_2023_q97,civics,easy,Vistral 7B,few-shot,D,A,Người có năng lực trách nhiệm pháp lí phải chịu trách nhiệm hành chính khi thực hiện hành vi nào sau đây?,"{'A': 'Lấn chiếm hè phố để kinh doanh.', 'B': 'Từ chối nhận di sản thừa kế.', 'C': 'Tranh chấp quyền lợi khi li hôn.', 'D': 'Tổ chức mua bán nội tạng người.'}"
civics_2020_q100,civics,easy,Llama 3.1 8B,zero-shot,B,C,"Theo quy định của pháp luật, một trong những nội dung của quyền học tập là mọi công dân đều được","{'A': 'học không hạn chế.', 'B': 'hưởng mọi ưu đãi.', 'C': 'miễn, giảm học phí.', 'D': 'cộng điểm khu vực.'}"
biology_2020_q85,biology,easy,Llama 3.1 8B,zero-shot,B,C,"Quá trình giảm phân ở cơ thể có kiểu gen Ab/aB đã xảy ra hoán vị gen. Theo lí thuyết, 2 loại giao tử mang gen hoán vị là","{'A': 'Ab và aB.', 'B': 'AB và ab.', 'C': 'AB và aB.', 'D': 'Ab và ab.'}"
geography_2021_q73,geography,hard,GPT-OSS 120B,zero-shot,A,B,Thuận lợi chủ yếu để phát triển công nghiệp ở Đồng bằng sông Hồng là,"{'A': 'có nhiều lao động kĩ thuật, cơ sở hạ tầng khá tốt.', 'B': 'đô thị hóa mở rộng, kinh tế hàng hóa phát triển.', 'C': 'thị trường tiêu thụ lớn, nhiều hoạt động dịch vụ.', 'D': 'nguyên liệu dồi dào, dân cư tập trung đông đúc.'}"
biology_2019_q106,biology,medium,Vistral 7B,zero-shot,C,D,"Cho các hoạt động sau của con người:
I. Bảo vệ rừng và trồng cây gây rừng.
II. Chống xói mòn và chống xâm nhập mặn cho đất.
III. Quản lí chặt chẽ các chất gây ô nhiễm môi trường.
IV. Giảm thiểu lượng khí thải gây hiệu ứng nhà kính.
Trong các hoạt động trên, có bao nhiêu hoạt động góp phần khắc phục suy thoái môi trường?","{'A': '2.', 'B': '1.', 'C': '4.', 'D': '3.'}"
civics_2021_q100,civics,easy,GPT-OSS 120B,few-shot,A,C,"Người làm nhiệm vụ chuyển phát thư tín, điện tín không vi phạm quyền được bảo đảm an toàn và bí mật thư tín, điện thoại, điện tín khi tự ý thực hiện hành vi nào sau đây?","{'A': 'Tiêu hủy thư không có người nhận.', 'B': 'Chia sẻ điện tín của khách hàng.', 'C': 'Lựa chọn dịch vụ điện hoa.', 'D': 'Phát tán công văn gửi nhầm địa chỉ.'}"
geography_2019_q75,geography,hard,Qwen3 235B,cot,C,B,Ý nghĩa chủ yếu của việc chuyển dịch cơ cấu cây trồng ở Đồng bằng sông Cửu Long là,"{'A': 'tăng diện tích đất canh tác, đa dạng các loại nông sản.', 'B': 'nâng cao giá trị sản xuất, ứng phó với biến đổi khí hậu.', 'C': 'sử dụng hợp lý tài nguyên, giải quyết việc làm tại chỗ.', 'D': 'thay đổi tập quán sản xuất, thúc đẩy nông nghiệp hàng hóa.'}"
biology_2019_q114,biology,hard,GPT-OSS 120B,cot,A,B,"Một loài thực vật, xét 2 tính trạng, mỗi tính trạng do 1 gen có 2 alen quy định, các alen trội là trội hoàn toàn. Cho 2 cây (P) đều có kiểu hình trội về 2 tính trạng giao phấn với nhau, thu được F1 có tổng tỉ lệ các loại kiểu gen đồng hợp 2 cặp gen quy định kiểu hình trội về 1 tính trạng chiếm 50%. Cho các phát biểu sau:
I. F1 có 1 loại kiểu gen quy định kiểu hình trội về 2 tính trạng.
II. F1 có 3 loại kiểu gen.
III. F1 có tổng tỉ lệ các loại kiểu gen đồng hợp 2 cặp gen bằng tỉ lệ kiểu gen dị hợp 2 cặp gen.
IV. F1 có số cây có kiểu hình trội về 2 tính trạng chiếm 25%.
Theo lí thuyết, trong các phát biểu trên, có bao nhiêu phát biểu đúng?","{'A': '3.', 'B': '4.', 'C': '2.', 'D': '1.'}"
civics_2024_q92,civics,easy,GPT-OSS 120B,self-cons,A,B,Một trong những nội dung cơ bản của quyền học tập là mọi công dân đều được,"{'A': 'học vượt cấp.', 'B': 'học suốt đời.', 'C': 'cấp học bổng.', 'D': 'miễn học phí.'}"
biology_2020_q97,biology,easy,Vistral 7B,few-shot,B,D,"Ở ruồi giấm, xét 1 gen nằm ở vùng không tương đồng trên NST giới tính X có 2 alen là A và a. Cách viết kiểu gen nào sau đây đúng?","{'A': 'X^a Y^A.', 'B': 'X^A Y.', 'C': 'XY^a.', 'D': 'X^A Y^a.'}"
biology_2020_q116,biology,hard,Llama 3.1 8B,cot,C,B,"Một loài thực vật, xét 3 cặp gen: A, a; B, b; D, d; mỗi cặp gen quy định 1 tính trạng, các alen trội là trội hoàn toàn. Phép lai P: 2 cây đều có kiểu hình trội về 3 tính trạng giao phấn với nhau, thu được F1 có tỉ lệ kiểu hình là 6 : 3 : 3 : 2 : 1 : 1 và có số cây mang 1 alen trội chiếm 12,5%. Theo lí thuyết, có bao nhiêu phát biểu sau đây đúng?
I. F1 không xuất hiện kiểu gen đồng hợp 3 cặp gen.
II. F1 có 37,5% số cây dị hợp 1 cặp gen.
III. F1 có 4 loại kiểu gen dị hợp 2 cặp gen.
IV. F1 có 5 loại kiểu gen quy định kiểu hình trội về 3 tính trạng.","{'A': '1.', 'B': '3.', 'C': '2.', 'D': '4.'}"
civics_2023_q94,civics,easy,Qwen3 235B,zero-shot,A,D,Công dân có thể thực hiện quyền tố cáo trong trường hợp nào sau đây?,"{'A': 'Bị hạ bậc lương không rõ lí do.', 'B': 'Nhận quyết định điều chuyển công tác.', 'C': 'Bị giao thêm việc ngoài thỏa thuận.', 'D': 'Phát hiện đường dây cá độ bóng đá.'}"
biology_2021_q117,biology,hard,Qwen3 235B,few-shot,B,D,"Một loài thực vật lưỡng bội, xét 2 tính trạng, mỗi tính trạng đều do 1 gen có 2 alen quy định, alen trội là trội hoàn toàn. Phép lai P: 2 cây giao phấn với nhau, tạo ra F1. Theo lí thuyết, phát biểu nào sau đây đúng?","{'A': 'Nếu F1 có 3 loại kiểu hình thì tỉ lệ kiểu hình trội về 2 tính trạng ở F1 lớn hơn 50%.', 'B': 'Nếu F1 có tỉ lệ kiểu hình là 9 : 3 : 3 : 1 thì có thể quá trình phát sinh giao tử ở thế hệ P đã xảy ra hoán vị gen với tần số nhỏ hơn 50%.', 'C': 'Nếu F1 có 7 loại kiểu gen thì F1 có tối đa 2 loại kiểu gen quy định kiểu hình trội về 2 tính trạng.', 'D': 'Nếu F1 có 4 loại kiểu gen và tỉ lệ kiểu gen giống tỉ lệ kiểu hình thì 2 cây ở thế hệ P có thể có kiểu gen giống nhau.'}"
geography_2019_q61,geography,medium,GPT-OSS 120B,cot,D,C,Giao thông vận tải đường bộ nước ta hiện nay,"{'A': 'khối lượng luân chuyển lớn nhất.', 'B': 'chỉ tập trung ở các vùng đồng bằng.', 'C': 'đang được đầu tư, mở rộng.', 'D': 'chỉ phát triển theo hướng Bắc - Nam.'}"
history_2020_q22,history,medium,Qwen3 235B,few-shot,C,D,Quân dân miền Nam Việt Nam chiến đấu chống Chiến lược Chiến tranh cục bộ (1965 – 1968) của Mỹ nhằm thực hiện mục tiêu nào sau đây?,"{'A': 'Bảo vệ chính quyền Xviết.', 'B': 'Bảo vệ khu giải phóng Việt Bắc.', 'C': 'Bảo vệ căn cứ địa Cao Bằng.', 'D': 'Giải phóng hoàn toàn miền Nam.'}"
geography_2020_q75,geography,hard,GPT-OSS 120B,cot,C,D,Bắc Bộ có mưa nhiều vào mùa hạ chủ yếu do tác động của,"{'A': 'gió tây nam từ Bắc Ấn Độ Dương đến, Tín phong bán cầu Bắc và dải hội tụ.', 'B': 'Tín phong bán cầu Bắc và địa hình vùng núi, áp thấp nhiệt đới và dải hội tụ.', 'C': 'gió mùa Tây Nam, gió tây nam từ Bắc Ấn Độ Dương đến, dải hội tụ và bão.', 'D': 'gió mùa Tây Nam, gió Tây, địa hình núi, bão, áp thấp nhiệt đới và dải hội tụ.'}"
biology_2023_q91,biology,easy,GPT-OSS 120B,few-shot,A,D,"Ở một loài thực vật, sự kết hợp giữa giao tử 2n và giao tử 2n tạo thành hợp tử có bộ NST","{'A': '3n.', 'B': 'n.', 'C': '2n.', 'D': '4n.'}"
civics_2024_q99,civics,easy,Llama 3.1 8B,few-shot,B,D,"Theo quy định của pháp luật, công dân vi phạm quyền bất khả xâm phạm về thân thể khi thực hiện hành vi nào sau đây?","{'A': 'Truy tìm tội phạm.', 'B': 'Theo dõi bị can.', 'C': 'Đầu độc tù nhân.', 'D': 'Giam giữ nhân chứng.'}"
geography_2023_q74,geography,hard,Qwen3 235B,self-cons,C,D,Vùng Tây Nguyên có thời gian bắt đầu mùa mưa và mùa khô khác với vùng Nam Trung Bộ chủ yếu do tác động của,"{'A': 'gió Tây, dãy núi Trường Sơn Nam, gió mùa Tây Nam, dải hội tụ nhiệt đới.', 'B': 'gió mùa Tây Nam, gió mùa Đông Bắc, hướng của dãy núi Trường Sơn, bão.', 'C': 'gió đông bắc, địa hình, khối khí nóng ẩm từ Bắc Ấn Độ Dương, vị trí địa lí.', 'D': 'Tin phong bán cầu Bắc, vị trí địa lí, gió phơn Tây Nam, dải hội tụ nhiệt đới.'}"
civics_2024_q90,civics,easy,Qwen3 235B,self-cons,D,C,Một trong những tác động của quy luật giá trị đối với người sản xuất hàng hóa là,"{'A': 'chia đều lãi suất định kì.', 'B': 'xóa bỏ cạnh tranh.', 'C': 'phân hóa giàu nghèo.', 'D': 'san bằng lợi nhuận bình quân.'}"
civics_2021_q110,civics,medium,Llama 3.1 8B,zero-shot,B,D,"Ông D viết bài chia sẻ kinh nghiệm phòng, chống tai nạn thương tích cho người dân. Ông D đã thực hiện pháp luật theo hình thức nào sau đây?","{'A': 'Tuân thủ pháp luật.', 'B': 'Áp dụng pháp luật.', 'C': 'Sử dụng pháp luật.', 'D': 'Thi hành pháp luật.'}"
